model,fold,task,length,lbin,genus,new,matched
baseline_esm2,2,propep,26,25-29,Porphyromonas,False,1
baseline_esm2,2,propep,19,15-19,Welwitschia,False,0
baseline_esm2,2,pep,19,15-19,Cupiennius,True,0
baseline_esm2,2,pep,19,15-19,Cupiennius,True,0
baseline_esm2,2,pep,15,15-19,Arabidopsis,False,0
baseline_esm2,2,pep,15,15-19,Arabidopsis,False,0
baseline_esm2,2,propep,22,20-24,Arabidopsis,False,1
baseline_esm2,2,propep,14,10-14,Arabidopsis,False,0
baseline_esm2,2,propep,9,5-9,Arabidopsis,False,1
baseline_esm2,2,propep,20,20-24,Cryptophis,False,1
baseline_esm2,2,propep,28,25-29,Cryptophis,False,0
baseline_esm2,2,propep,23,20-24,Saccharomyces,False,1
baseline_esm2,2,pep,30,30-34,Bungarus,False,0
baseline_esm2,2,pep,14,10-14,Rhodnius,False,1
baseline_esm2,2,pep,14,10-14,Rhodnius,False,1
baseline_esm2,2,pep,14,10-14,Rhodnius,False,1
baseline_esm2,2,propep,12,10-14,Rhodnius,False,0
baseline_esm2,2,propep,11,10-14,Rhodnius,False,0
baseline_esm2,2,propep,40,40-44,Toxoplasma,False,0
baseline_esm2,2,propep,18,15-19,Toxoplasma,False,0
baseline_esm2,2,pep,34,30-34,Naja,False,0
baseline_esm2,2,pep,30,30-34,Ophiophagus,False,0
baseline_esm2,2,propep,15,15-19,Bacillus,False,0
baseline_esm2,2,propep,15,15-19,Bacillus,False,0
baseline_esm2,2,propep,15,15-19,Bacillus,False,0
baseline_esm2,2,propep,15,15-19,Bacillus,False,0
baseline_esm2,2,propep,8,5-9,Rippkaea,False,0
baseline_esm2,2,propep,8,5-9,Gloeothece,False,0
baseline_esm2,2,propep,50,45-50,Pseudarthrobacter,False,1
baseline_esm2,2,propep,8,5-9,Cyanothece,False,0
baseline_esm2,2,propep,24,20-24,Danio,False,1
baseline_esm2,2,propep,7,5-9,Buthus,False,0
baseline_esm2,2,pep,10,10-14,Buthus,False,1
baseline_esm2,2,propep,31,30-34,Buthus,False,1
baseline_esm2,2,propep,15,15-19,Bacillus,False,0
baseline_esm2,2,propep,43,40-44,Lachesana,False,1
baseline_esm2,2,propep,47,45-50,Lachesana,False,1
baseline_esm2,2,propep,47,45-50,Lachesana,False,1
baseline_esm2,2,pep,16,15-19,Conus,False,1
baseline_esm2,2,propep,30,30-34,Conus,False,1
baseline_esm2,2,pep,15,15-19,Agrotis,False,0
baseline_esm2,2,pep,13,10-14,Agrotis,False,0
baseline_esm2,2,pep,11,10-14,Agrotis,False,1
baseline_esm2,2,pep,31,30-34,Agrotis,False,1
baseline_esm2,2,propep,47,45-50,Agrotis,False,0
baseline_esm2,2,propep,5,5-9,Agrotis,False,1
baseline_esm2,2,pep,14,10-14,Agrotis,False,0
baseline_esm2,2,pep,19,15-19,Agrotis,False,0
baseline_esm2,2,pep,33,30-34,Agrotis,False,1
baseline_esm2,2,pep,14,10-14,Agrotis,False,1
baseline_esm2,2,pep,22,20-24,Agrotis,False,1
baseline_esm2,2,pep,12,10-14,Agrotis,False,1
baseline_esm2,2,pep,22,20-24,Agrotis,False,0
baseline_esm2,2,pep,13,10-14,Conus,False,1
baseline_esm2,2,propep,22,20-24,Conus,False,1
baseline_esm2,2,pep,13,10-14,Conus,False,1
baseline_esm2,2,propep,10,10-14,Conus,False,1
baseline_esm2,2,pep,15,15-19,Conus,False,1
baseline_esm2,2,propep,22,20-24,Conus,False,0
baseline_esm2,2,pep,14,10-14,Conus,False,1
baseline_esm2,2,propep,22,20-24,Conus,False,1
baseline_esm2,2,propep,19,15-19,Crotalus,False,0
baseline_esm2,2,propep,5,5-9,Crotalus,False,0
baseline_esm2,2,propep,15,15-19,Bacillus,False,0
baseline_esm2,2,propep,15,15-19,Bacillus,False,0
baseline_esm2,2,propep,15,15-19,Bacillus,False,0
baseline_esm2,2,propep,47,45-50,Beutenbergia,False,1
baseline_esm2,2,propep,15,15-19,Geobacillus,False,0
baseline_esm2,2,pep,13,10-14,Opisthacanthus,False,1
baseline_esm2,2,propep,31,30-34,Opisthacanthus,False,1
baseline_esm2,2,pep,14,10-14,Opisthacanthus,False,1
baseline_esm2,2,propep,29,25-29,Opisthacanthus,False,1
baseline_esm2,2,pep,12,10-14,Streptomyces,False,1
baseline_esm2,2,propep,25,25-29,Plasmodium,False,1
