organism,train_peptides,test_peptides,test_recall,test_errors
Lymnaea stagnalis,41,16,0.5625,7
Conus textile,43,22,0.5909090909090909,9
Cyriopagopus hainanus,48,55,0.07272727272727272,51
Xenopus laevis,50,4,1.0,0
Caenorhabditis elegans,55,55,0.43636363636363634,31
Arabidopsis thaliana,61,6,0.6666666666666666,2
Drosophila melanogaster,73,19,0.7368421052631579,5
Sus scrofa,83,14,0.5,7
Bos taurus,103,23,0.391304347826087,14
Rattus norvegicus,122,27,0.5185185185185185,13
Bombina maxima,132,1,1.0,0
Mus musculus,140,23,0.5652173913043478,10
Homo sapiens,153,30,0.43333333333333335,17
Aplysia californica,192,18,0.3333333333333333,12
