run,label,task,window,tp,fn,fp,precision,recall,f1
esmc6b_telescoping,ESM-C 6B + telescoping,propeptides,3,885,530,544,0.6193142057382786,0.6254416961130742,0.6223628691983122
esmc6b_telescoping,ESM-C 6B + telescoping,all,3,1550,1006,915,0.6288032454361054,0.6064162754303599,0.6174068910575582
esmc6b_telescoping,ESM-C 6B + telescoping,peptides,4,681,460,355,0.6573359073359073,0.5968448729184925,0.6256316031235646
esmc6b_telescoping,ESM-C 6B + telescoping,propeptides,4,911,504,518,0.6375087473757872,0.6438162544169611,0.640646976090014
esmc6b_telescoping,ESM-C 6B + telescoping,all,4,1592,964,873,0.645841784989858,0.622848200312989,0.6341366261700857
esmc6b_telescoping,ESM-C 6B + telescoping,peptides,5,704,437,332,0.6795366795366795,0.6170026292725679,0.6467615985300872
esmc6b_telescoping,ESM-C 6B + telescoping,propeptides,5,933,482,496,0.6529041287613716,0.6593639575971731,0.6561181434599156
esmc6b_telescoping,ESM-C 6B + telescoping,all,5,1637,919,828,0.6640973630831642,0.6404538341158059,0.6520613423620794
train_run_esm2+3di_proj_gated_conv,ESM2 + 3Di (proj gated conv),peptides,0,535,606,467,0.5339321357285429,0.4688869412795793,0.49930004666355576
train_run_esm2+3di_proj_gated_conv,ESM2 + 3Di (proj gated conv),propeptides,0,440,945,823,0.34837688044338877,0.3176895306859206,0.33232628398791547
train_run_esm2+3di_proj_gated_conv,ESM2 + 3Di (proj gated conv),all,0,975,1551,1290,0.4304635761589404,0.3859857482185273,0.40701314965560426
train_run_esm2+3di_proj_gated_conv,ESM2 + 3Di (proj gated conv),peptides,1,606,535,396,0.6047904191616766,0.5311130587204207,0.5655622958469435
train_run_esm2+3di_proj_gated_conv,ESM2 + 3Di (proj gated conv),propeptides,1,593,792,670,0.46951702296120346,0.42815884476534294,0.4478851963746223
train_run_esm2+3di_proj_gated_conv,ESM2 + 3Di (proj gated conv),all,1,1199,1327,1066,0.5293598233995584,0.4746634996041172,0.5005218117303276
train_run_esm2+3di_proj_gated_conv,ESM2 + 3Di (proj gated conv),peptides,2,657,484,345,0.655688622754491,0.5758106923751095,0.6131591227251516
train_run_esm2+3di_proj_gated_conv,ESM2 + 3Di (proj gated conv),propeptides,2,782,603,481,0.6191607284243864,0.5646209386281589,0.5906344410876132
train_run_esm2+3di_proj_gated_conv,ESM2 + 3Di (proj gated conv),all,2,1439,1087,826,0.6353200883002208,0.5696753760886778,0.6007096639532457
train_run_esm2+3di_proj_gated_conv,ESM2 + 3Di (proj gated conv),peptides,3,680,461,322,0.6786427145708582,0.595968448729185,0.6346243583761083
train_run_esm2+3di_proj_gated_conv,ESM2 + 3Di (proj gated conv),propeptides,3,831,554,432,0.6579572446555819,0.6,0.6276435045317221
train_run_esm2+3di_proj_gated_conv,ESM2 + 3Di (proj gated conv),all,3,1511,1015,754,0.6671081677704195,0.598178939034046,0.630766019620121
train_run_esm2+3di_proj_gated_conv,ESM2 + 3Di (proj gated conv),peptides,4,702,439,300,0.7005988023952096,0.6152497808939527,0.6551563229118059
train_run_esm2+3di_proj_gated_conv,ESM2 + 3Di (proj gated conv),propeptides,4,857,528,406,0.6785431512272367,0.6187725631768953,0.6472809667673717
train_run_esm2+3di_proj_gated_conv,ESM2 + 3Di (proj gated conv),all,4,1559,967,706,0.6883002207505519,0.617181314330958,0.6508035900647047
train_run_esm2+3di_proj_gated_conv,ESM2 + 3Di (proj gated conv),peptides,5,719,422,283,0.717564870259481,0.6301489921121823,0.6710219318712086
train_run_esm2+3di_proj_gated_conv,ESM2 + 3Di (proj gated conv),propeptides,5,875,510,388,0.6927949326999209,0.631768953068592,0.6608761329305136
train_run_esm2+3di_proj_gated_conv,ESM2 + 3Di (proj gated conv),all,5,1594,932,671,0.7037527593818984,0.6310372129849564,0.6654143185138801
