run,p_all,r_all,f1_all,p_any,r_any,f1_any,f1_gap,mistyped_frac,pep_mistyped_frac,propep_mistyped_frac
train_run_esm2+3di_proj,0.6422338568935427,0.5827395091053048,0.6110419261104193,0.6705933682373473,0.6084718923198733,0.6380240763802407,0.026982150269821426,0.041908446163765316,0.03168044077134986,0.05090909090909091
train_run_esm2+3di_proj_gated,0.699816961561928,0.45407759303246237,0.5507803121248499,0.7175106772422208,0.4655581947743468,0.5647058823529412,0.013925570228091266,0.024390243902439025,0.012259194395796848,0.03559870550161812
train_run_esm2+3di_proj_gated_conv,0.6671081677704195,0.598178939034046,0.630766019620121,0.6931567328918322,0.6215360253365004,0.6553955332915885,0.024629513671467484,0.037247474747474744,0.025280898876404494,0.047018348623853214
train_run_esm2_100,0.6639579349904398,0.5498812351543944,0.6015591165006497,0.6811663479923518,0.5641330166270784,0.6171502815071459,0.015591165006496155,0.025034770514603615,0.02365930599369085,0.026119402985074626
train_run_esm2_25,0.46678321678321677,0.4337936636880585,0.4496842105263158,0.49038461538461536,0.45572705117790413,0.4724210526315789,0.02273684210526311,0.04770318021201413,0.01276595744680851,0.07250755287009064
train_run_esm2_50,0.5183028286189684,0.5060926076360682,0.512124948623099,0.5374376039933444,0.5247766043866775,0.5310316481709824,0.018906699547883377,0.03533026113671275,0.03202846975088968,0.03783783783783784
train_run_esm2_75,0.5987478656801366,0.5574986751457339,0.5773874862788144,0.6112692088787707,0.5691573926868044,0.5894621295279913,0.012074643249176842,0.020351526364477335,0.011695906432748537,0.028169014084507043
train_run_esm2_adamw,0.6091030789825971,0.5403800475059383,0.5726872246696036,0.6300758589915216,0.5589865399841647,0.592406125445773,0.019718900776169335,0.03298245614035088,0.018433179723502304,0.04521963824289406
train_run_esm2_aft,0.6062240663900414,0.5879275653923541,0.5969356486210419,0.6481327800829876,0.6285714285714286,0.6382022471910113,0.04126659856996939,0.06404565630944832,0.03581267217630854,0.0881316098707403
train_run_esm2_aft_no_lddt_gated,0.6019777503090235,0.5879275653923541,0.5948697068403909,0.638648537288834,0.6237424547283702,0.6311074918566775,0.036237785016286606,0.05694177863083813,0.02664796633941094,0.08235294117647059
train_run_esm2_aft_pair_gated,0.6598417868776175,0.5706237424547284,0.6119982736296936,0.6817124243834342,0.5895372233400402,0.6322831247302546,0.020284851100560997,0.031799729364005415,0.027576197387518143,0.035487959442332066
train_run_esm2_aft_plddt70,0.6001863932898416,0.5724444444444444,0.5859872611464968,0.608574091332712,0.5804444444444444,0.5941765241128298,0.008189262966333044,0.0136986301369863,0.04371584699453552,0.002109704641350211
train_run_esm2_aft_single_gated,0.6223100570926657,0.5702213279678069,0.5951280974380513,0.6512955643390426,0.5967806841046278,0.622847543049139,0.027719445611087745,0.04408817635270541,0.03337969401947149,0.05398457583547558
train_run_esm2_conv,0.5983572895277207,0.5768012668250198,0.5873815762951018,0.6353182751540041,0.61243072050673,0.6236645837532756,0.03628300745817381,0.057692307692307696,0.03905160390516039,0.07354685646500593
train_run_esm2_only_homo,0.3954599761051374,0.13103721298495646,0.19684805233422542,0.3966547192353644,0.13143309580364212,0.19744275944097534,0.0005947071067499143,0.0029850746268656717,0.0,0.004975124378109453
train_run_esm2_plus,0.6589303733602422,0.5170229612034838,0.5794143744454304,0.6866801210898082,0.5387965162311956,0.6038154392191658,0.02440106477373538,0.04002911208151383,0.03262642740619902,0.045992115637319315
train_run_esm2_plus_proj_gated,0.6121703853955375,0.5973871733966746,0.6046884391905429,0.6425963488843813,0.6270783847980997,0.6347425365658184,0.030054097375275424,0.04693366708385482,0.027247956403269755,0.06365740740740741
train_run_esmc_600m,0.6379555134879319,0.5273865414710485,0.5774255729278218,0.6578324656885944,0.5438184663536776,0.5954165774255729,0.01799100449775104,0.02993585174625802,0.030201342281879196,0.02973977695167286
train_run_prostt5,0.5933734939759037,0.46153846153846156,0.5192180979573908,0.6320281124497992,0.49160484185864894,0.5530419503623984,0.033823852405007626,0.060821484992101105,0.04158790170132325,0.07462686567164178
train_run_prostt5_plus,0.5796146044624746,0.44631003514252243,0.5043017868960953,0.6100405679513184,0.4697383834439672,0.5307743216412971,0.026472534745201837,0.0495458298926507,0.04021937842778794,0.0572289156626506
uni2026_run_esm2,0.7437869822485207,0.3898883374689826,0.5115995115995116,0.7548845470692718,0.3955941669252249,0.5191368078175895,0.007537296218077971,0.01430722891566265,0.0140625,0.014534883720930232
