run_name,status,device,error,test:precision peptides,test:recall peptides,test:f1 peptides,test:precision propeptides,test:recall propeptides,test:f1 propeptides,test:precision all,test:recall all,test:f1 all,test:residue mcc peptides,test:residue positives peptides,test:residue total peptides,test:residue roc_auc peptides,test:residue mcc propeptides,test:residue positives propeptides,test:residue total propeptides,test:residue roc_auc propeptides,test:residue mcc all,test:residue positives all,test:residue total all,test:residue roc_auc all,test:loss,homo_test:precision peptides,homo_test:recall peptides,homo_test:f1 peptides,homo_test:precision propeptides,homo_test:recall propeptides,homo_test:f1 propeptides,homo_test:precision all,homo_test:recall all,homo_test:f1 all,homo_test:residue mcc peptides,homo_test:residue positives peptides,homo_test:residue total peptides,homo_test:residue roc_auc peptides,homo_test:residue mcc propeptides,homo_test:residue positives propeptides,homo_test:residue total propeptides,homo_test:residue roc_auc propeptides,homo_test:residue mcc all,homo_test:residue positives all,homo_test:residue total all,homo_test:residue roc_auc all,homo_test:loss
esm2_lora_lstmcnncrf,ok,cuda:0,,0.5846153846153846,0.4306887532693984,0.49598393574297184,0.6104,0.5509025270758122,0.5791271347248577,0.6,0.49644549763033174,0.5433326129241409,0.5892551651362179,27346,309829,0.9323285474130307,0.7285968700241824,30387,309829,0.9606034867882169,0.7028198124001825,57733,309829,0.9409244256038206,14.835609065091356,0.5846153846153846,0.4306887532693984,0.49598393574297184,0.6104,0.5509025270758122,0.5791271347248577,0.6,0.49644549763033174,0.5433326129241409,0.5885787108426968,27324,309829,0.9321991063589712,0.7285968700241824,30387,309829,0.9606034867882169,0.703299228331509,57711,309829,0.9409774816202316,14.81410982063476
esm2_lora_lstmcnncrf_r4_last2_qv,ok,cuda:0,,0.6042363433667781,0.464041095890411,0.5249394673123488,0.6909272183449651,0.5003610108303249,0.5804020100502513,0.65,0.4837446141793968,0.5546822366943633,0.6475540323600066,27346,309829,0.9579803808598193,0.714546860680026,30387,309829,0.9635863557977381,0.7016409310761751,57733,309829,0.9579475363481468,16.160308722485887,0.6042363433667781,0.464041095890411,0.5249394673123488,0.6909272183449651,0.5003610108303249,0.5804020100502513,0.65,0.4837446141793968,0.5546822366943633,0.6483708393505456,27324,309829,0.9578923170724356,0.714546860680026,30387,309829,0.9635863557977381,0.7021066761958675,57711,309829,0.9579655696283671,16.15530180550636
esm2_telescoping_segmental,ok,cuda:0,,0.675,0.5625,0.6136363636363636,0.5998469778117828,0.5660649819494585,0.5824665676077266,0.631671812968681,0.5644461962948364,0.5961698584512906,0.678885381223942,27346,309829,0.9579354916856676,0.705560851376955,30387,309829,0.953779533690295,0.7314349288271528,57733,309829,0.9491360195564724,40.63059350848198,0.3333333333333333,0.28125,0.3050847457627119,0.5581395348837209,0.4528301886792453,0.5,0.4714285714285714,0.38823529411764707,0.4258064516129032,0.5537845022845147,778,22018,0.9427687125712265,0.7034106953186464,1316,22018,0.9416573446789718,0.684141508021726,2094,22018,0.9318257516096985,43.97863006591797
esmc6b_boundary_bond,ok,cuda:0,,0.658493870402802,0.6527777777777778,0.6556233653007846,0.7751196172248804,0.5724381625441696,0.6585365853658537,0.7142203932327389,0.6084924035839502,0.657130837189735,0.7301267664309772,27346,347295,0.9787943113905146,0.7311176139032375,31214,347295,0.9726403813399704,0.7645898185681165,58560,347295,0.9683145411665226,9.905996173620224,0.4230769230769231,0.34375,0.3793103448275862,0.8,0.5423728813559322,0.6464646464646464,0.6515151515151515,0.4725274725274725,0.5477707006369427,0.5948452548066273,778,29231,0.9525747462305807,0.7417639598296539,1488,29231,0.9786769809995663,0.7468310444403292,2266,29231,0.9671712652912662,9.376178979873657
esmc6b_boundary_only,ok,cuda:0,,0.7282157676348547,0.6067415730337079,0.6619519094766619,0.7538883806038427,0.5823321554770318,0.6570972886762361,0.7418570734078755,0.5933125972006221,0.6593216677468137,0.7324830480704634,27346,347295,0.976643005805405,0.7339399903779074,31214,347295,0.9714306692256673,0.7567509769045114,58560,347295,0.968161036989029,10.066642075777054,0.4,0.25,0.3076923076923077,0.7333333333333333,0.559322033898305,0.6346153846153846,0.6307692307692307,0.45054945054945056,0.5256410256410257,0.5488497024740502,778,29231,0.9399556857260751,0.7196631070559774,1488,29231,0.9813682052510387,0.7139587991377817,2266,29231,0.9657756638864836,9.485239744186401
esmc6b_boundary_w3,ok,cuda:0,,0.6282671829622459,0.5623916811091855,0.5935070873342478,0.7497812773403325,0.605225988700565,0.6697928878468152,0.6920955882352942,0.5859922178988327,0.6346396965865994,0.6899017228886446,27346,347295,0.9726961472074205,0.7421925464837883,31214,347295,0.9773354358487446,0.7502045749403201,58560,347295,0.9698189938320074,6.389403156936169,0.3181818181818182,0.21212121212121213,0.2545454545454546,0.7804878048780488,0.5423728813559322,0.64,0.6190476190476191,0.42391304347826086,0.503225806451613,0.5716328004333415,778,29231,0.9438922276279909,0.7441034616932726,1488,29231,0.984650225630877,0.6953231462441177,2266,29231,0.9689082755603723,6.071777820587158
esmc6b_telescoping,ok,cuda:0,,0.6326732673267327,0.5551694178974804,0.5913928736695974,0.6111508220157256,0.6042402826855123,0.607675906183369,0.6201743462017435,0.5822291504286827,0.6006030150753768,0.7004703166425547,27346,347295,0.9649790478005351,0.7533992975244916,31214,347295,0.9664994418481679,0.7474889331139097,58560,347295,0.9612060396047826,71.5972089767456,0.25,0.1875,0.21428571428571427,0.5636363636363636,0.5254237288135594,0.543859649122807,0.46835443037974683,0.4065934065934066,0.43529411764705883,0.5303082636871963,778,29231,0.9329990096869261,0.7368363801536697,1488,29231,0.9728619788426723,0.7020230560019357,2266,29231,0.9588157084409868,69.75090789794922
esmc_6b,ok,cuda:0,,0.525679758308157,0.6046915725456126,0.5624242424242425,0.6133633633633634,0.5773851590106007,0.5948307244266472,0.5696536144578314,0.5896336710833983,0.5794714668709307,0.7281713001839999,27346,347295,0.9714701781679794,0.7461941442523347,31214,347295,0.9706203615971858,0.7583097626808274,58560,347295,0.9679415362255707,27.543518841266632,0.3333333333333333,0.34375,0.3384615384615385,0.6590909090909091,0.4915254237288136,0.5631067961165048,0.5194805194805194,0.43956043956043955,0.47619047619047616,0.612176403756396,778,29231,0.9211018811792359,0.6842280182927254,1488,29231,0.9674738013928922,0.6857538820233829,2266,29231,0.9473472608161768,28.404318809509277
scaling_trainfrac50,ok,cuda:0,,0.45396536007292615,0.4326672458731538,0.44306049822064053,0.6056945642795514,0.5068592057761733,0.5518867924528301,0.5319148936170213,0.47318611987381703,0.5008347245409016,0.6282213258133186,27346,309829,0.9465570717620782,0.6663874180500352,30387,309829,0.9402019573829128,0.6779866564513918,57733,309829,0.9359211832428012,23.380631029605865,0.17857142857142858,0.15151515151515152,0.16393442622950818,0.5116279069767442,0.41509433962264153,0.45833333333333337,0.38028169014084506,0.313953488372093,0.34394904458598724,0.5247176257470044,778,22018,0.897833367221956,0.661516060556224,1316,22018,0.9234753760043741,0.6298145846555835,2094,22018,0.9117947148543644,24.551830291748047
scaling_trainfrac60,ok,cuda:0,,0.5287569573283859,0.4973821989528796,0.512589928057554,0.6021069692058347,0.5364620938628158,0.5673921344024436,0.5679065743944637,0.5187672856578428,0.5422258930415033,0.6671930832291185,27346,309829,0.9547053925606637,0.6874162347046661,30387,309829,0.949812219123026,0.7089782896840255,57733,309829,0.9427773185728842,19.58035644888878,0.36363636363636365,0.25,0.2962962962962963,0.4528301886792453,0.4528301886792453,0.4528301886792453,0.4266666666666667,0.3764705882352941,0.39999999999999997,0.5455788587775372,778,22018,0.934394047221375,0.6977549211683223,1316,22018,0.9333693219074322,0.6906975663498589,2094,22018,0.9283537710731533,18.91493320465088
