run,f1_all,precision_all,recall_all,mcc_all,auc_all,f1_peptides,precision_peptides,recall_peptides,mcc_peptides,auc_peptides,f1_propeptides,precision_propeptides,recall_propeptides,mcc_propeptides,auc_propeptides,test_drift,test_mcc_auc_trusted,homo_f1_all,homo_precision_all,homo_recall_all,homo_mcc_all,homo_auc_all,homo_f1_peptides,homo_precision_peptides,homo_recall_peptides,homo_mcc_peptides,homo_auc_peptides,homo_f1_propeptides,homo_precision_propeptides,homo_recall_propeptides,homo_mcc_propeptides,homo_auc_propeptides,homo_drift,homo_mcc_auc_trusted
esm2_lora_lstmcnncrf,0.543333,0.600000,0.496445,0.702820,0.671418,0.495984,0.584615,0.430689,0.589255,0.829229,0.579127,0.610400,0.550903,0.728597,0.459362,0.000000,True,0.543333,0.600000,0.496445,0.703299,0.671252,0.495984,0.584615,0.430689,0.588579,0.829095,0.579127,0.610400,0.550903,0.728597,0.459362,0.000000,True
esm2_telescoping_segmental,0.596170,0.631672,0.564446,0.731435,0.718997,0.613636,0.675000,0.562500,0.678885,0.903782,0.582467,0.599847,0.566065,0.705561,0.609746,0.000000,True,0.425806,0.471429,0.388235,0.684142,0.547603,0.305085,0.333333,0.281250,0.553785,0.863505,0.500000,0.558140,0.452830,0.703411,0.382419,0.000000,True
esmc6b_boundary_bond,0.657131,0.714220,0.608492,0.764590,0.608772,0.655623,0.658494,0.652778,0.730127,0.766284,0.658537,0.775120,0.572438,0.731118,0.408161,0.000000,True,0.547771,0.651515,0.472527,0.746831,0.553674,0.379310,0.423077,0.343750,0.594845,0.817907,0.646465,0.800000,0.542373,0.741764,0.381376,0.000000,True
esmc_6b,0.579471,0.569654,0.589634,0.758310,0.766110,0.562424,0.525680,0.604692,0.728171,0.885709,0.594831,0.613363,0.577385,0.746194,0.586580,0.000000,True,0.476190,0.519481,0.439560,0.685754,0.651686,0.338462,0.333333,0.343750,0.612176,0.883844,0.563107,0.659091,0.491525,0.684228,0.510420,0.000000,True
scaling_trainfrac50,0.500835,0.531915,0.473186,0.677987,0.813281,0.443060,0.453965,0.432667,0.628221,0.863859,0.551887,0.605695,0.506859,0.666387,0.678132,0.000000,True,0.343949,0.380282,0.313953,0.629815,0.763109,0.163934,0.178571,0.151515,0.524718,0.857372,0.458333,0.511628,0.415094,0.661516,0.671006,0.000000,True
scaling_trainfrac60,0.542226,0.567907,0.518767,0.708978,0.795736,0.512590,0.528757,0.497382,0.667193,0.868837,0.567392,0.602107,0.536462,0.687416,0.642809,0.000000,True,0.400000,0.426667,0.376471,0.690698,0.701008,0.296296,0.363636,0.250000,0.545579,0.885691,0.452830,0.452830,0.452830,0.697755,0.557439,0.000000,True
scaling_trainfrac70,0.542449,0.561470,0.524674,0.705251,0.799872,0.520758,0.540262,0.502613,0.638778,0.868239,0.560358,0.578907,0.542960,0.688514,0.650110,0.000000,True,0.378698,0.380952,0.376471,0.629689,0.697727,0.312500,0.312500,0.312500,0.510507,0.890288,0.419048,0.423077,0.415094,0.666383,0.551802,0.000000,True
scaling_trainfrac80,0.519218,0.570283,0.476547,0.687999,0.798462,0.505440,0.587356,0.443576,0.609341,0.851802,0.529791,0.558400,0.503971,0.693867,0.660249,0.000000,True,0.342105,0.393939,0.302326,0.702933,0.750038,0.285714,0.437500,0.212121,0.560899,0.896486,0.368932,0.380000,0.358491,0.705090,0.622650,0.000000,True
scaling_trainfrac90,0.565190,0.603317,0.531596,0.723554,0.812227,0.578381,0.624242,0.538797,0.683682,0.857776,0.554455,0.586624,0.525632,0.709682,0.678680,0.000000,True,0.438710,0.485714,0.400000,0.685799,0.737031,0.321429,0.375000,0.281250,0.563251,0.894232,0.505051,0.543478,0.471698,0.723287,0.605451,0.000000,True
train_run_aft,0.381827,0.529370,0.298603,0.549559,0.731576,0.381600,0.464377,0.323869,0.497541,0.837415,0.382045,0.610845,0.277939,0.522004,0.565137,0.000000,True,0.256000,0.432432,0.181818,0.490814,0.671120,0.090909,0.166667,0.062500,0.311988,0.847420,0.345679,0.560000,0.250000,0.552909,0.553910,0.000000,True
train_run_aft_no_lddt,0.408254,0.457939,0.368295,0.615472,0.704316,0.385036,0.363781,0.408929,0.544048,0.817998,0.434211,0.616000,0.335269,0.528059,0.541465,0.000000,True,0.223602,0.246575,0.204545,0.521295,0.621785,0.197183,0.179487,0.218750,0.421964,0.828437,0.244444,0.323529,0.196429,0.530504,0.496504,0.000000,True
train_run_aft_plddt70,0.274137,0.316032,0.242049,0.578794,0.737422,0.069333,0.065000,0.074286,0.483164,0.875793,0.397118,0.531049,0.317136,0.517332,0.618793,0.000000,True,0.400000,0.535714,0.319149,0.682281,0.536907,0,0,0.000000,N/A,0.783871,0.441176,0.535714,0.375000,0.699828,0.517202,0.000000,True
train_run_aft_single,0.330700,0.566731,0.233466,0.531177,0.773295,0.312268,0.522822,0.222615,0.467706,0.836553,0.346114,0.605072,0.242380,0.525354,0.645096,0.000000,True,0.188034,0.407407,0.122222,0.475556,0.678249,0.050000,0.166667,0.029412,0.254596,0.877087,0.259740,0.476190,0.178571,0.527720,0.555469,0.000000,True
train_run_esm2,0.607269,0.640105,0.577637,0.750341,0.713224,0.604196,0.648649,0.565445,0.694316,0.859573,0.609738,0.633463,0.587726,0.744666,0.503227,0.000000,True,0.459627,0.486842,0.435294,0.692876,0.609052,0.338983,0.370370,0.312500,0.552452,0.881559,0.529412,0.551020,0.509434,0.743708,0.423528,0.000000,True
